date,act_symbol,expiration,K1,K2,cost_buy,profit_buy,proceeds_sell,profit_sell
2019-10-19,SPY,2019-12-20,310.0,319.0,9.370000000000001,-0.370000000000001,9.010000000000002,0.010000000000001563
2019-10-19,SPY,2019-12-20,310.0,330.0,20.389999999999993,-0.38999999999999346,20.029999999999998,0.029999999999997584
2019-10-19,SPY,2019-12-20,310.0,345.0,35.349999999999994,-0.3499999999999943,34.980000000000004,-0.01999999999999602
2019-10-19,SPY,2019-12-20,319.0,330.0,11.219999999999999,-0.21999999999999886,10.82,-0.17999999999999972
2019-10-19,SPY,2019-12-20,319.0,345.0,26.18,-0.17999999999999972,25.770000000000003,-0.22999999999999687
2019-10-19,SPY,2019-12-20,330.0,345.0,15.159999999999997,-0.1599999999999966,14.750000000000007,-0.2499999999999929
2019-10-26,SPY,2019-11-08,255.0,271.0,16.13,-0.129999999999999,15.84,-0.16000000000000014
2019-10-26,SPY,2019-11-08,255.0,280.0,25.11,-0.10999999999999943,24.83,-0.1700000000000017
2019-10-26,SPY,2019-11-08,255.0,290.0,35.1,-0.10000000000000142,34.83,-0.1700000000000017
2019-10-26,SPY,2019-11-08,255.0,296.0,41.09,-0.09000000000000341,40.849999999999994,-0.15000000000000568
2019-10-26,SPY,2019-11-08,255.0,302.0,47.07,-0.07000000000000028,46.87,-0.13000000000000256
2019-10-26,SPY,2019-11-08,255.0,307.5,52.69,-0.18999999999999773,52.4,-0.10000000000000142
2019-10-26,SPY,2019-11-08,255.0,314.0,59.32,-0.3200000000000003,59.019999999999996,0.01999999999999602
2019-10-26,SPY,2019-11-08,255.0,322.5,67.83999999999999,-0.3399999999999892,67.54,0.04000000000000625
2019-10-26,SPY,2019-11-08,255.0,330.0,75.33999999999999,-0.3399999999999892,75.04,0.04000000000000625
2019-10-26,SPY,2019-11-08,255.0,335.0,80.33999999999999,-0.3399999999999892,80.04,0.04000000000000625
2019-10-26,SPY,2019-11-08,271.0,280.0,9.120000000000001,-0.120000000000001,8.85,-0.15000000000000036
2019-10-26,SPY,2019-11-08,271.0,290.0,19.11,-0.10999999999999943,18.85,-0.14999999999999858
2019-10-26,SPY,2019-11-08,271.0,296.0,25.1,-0.10000000000000142,24.87,-0.129999999999999
2019-10-26,SPY,2019-11-08,271.0,302.0,31.080000000000002,-0.08000000000000185,30.889999999999997,-0.11000000000000298
2019-10-26,SPY,2019-11-08,271.0,307.5,36.7,-0.20000000000000284,36.42,-0.0799999999999983
2019-10-26,SPY,2019-11-08,271.0,314.0,43.330000000000005,-0.3300000000000054,43.040000000000006,0.04000000000000625
2019-10-26,SPY,2019-11-08,271.0,322.5,51.85,-0.3500000000000014,51.56,0.060000000000002274
2019-10-26,SPY,2019-11-08,271.0,330.0,59.35,-0.3500000000000014,59.06,0.060000000000002274
2019-10-26,SPY,2019-11-08,271.0,335.0,64.35,-0.3499999999999943,64.06,0.060000000000002274
2019-10-26,SPY,2019-11-08,280.0,290.0,10.120000000000001,-0.120000000000001,9.870000000000001,-0.129999999999999
2019-10-26,SPY,2019-11-08,280.0,296.0,16.110000000000003,-0.11000000000000298,15.89,-0.10999999999999943
2019-10-26,SPY,2019-11-08,280.0,302.0,22.090000000000003,-0.09000000000000341,21.91,-0.08999999999999986
2019-10-26,SPY,2019-11-08,280.0,307.5,27.710000000000004,-0.2100000000000044,27.44,-0.05999999999999872
2019-10-26,SPY,2019-11-08,280.0,314.0,34.34,-0.3400000000000034,34.059999999999995,0.05999999999999517
2019-10-26,SPY,2019-11-08,280.0,322.5,42.86,-0.35999999999999943,42.58,0.0799999999999983
2019-10-26,SPY,2019-11-08,280.0,330.0,50.36,-0.35999999999999943,50.08,0.0799999999999983
2019-10-26,SPY,2019-11-08,280.0,335.0,55.36,-0.35999999999999943,55.08,0.0799999999999983
2019-10-26,SPY,2019-11-08,290.0,296.0,6.11,-0.11000000000000032,5.9,-0.09999999999999964
2019-10-26,SPY,2019-11-08,290.0,302.0,12.089999999999998,-0.08999999999999808,11.92,-0.08000000000000007
2019-10-26,SPY,2019-11-08,290.0,307.5,17.71,-0.21000000000000085,17.450000000000003,-0.04999999999999716
2019-10-26,SPY,2019-11-08,290.0,314.0,24.34,-0.33999999999999986,24.07,0.07000000000000028
